id;event_id;event_type;occurred_on;version;correlation_id;aggregate_id;aggregate_type;user_id;username;email;user_role;created_by_user_id
1;550e8400-e29b-41d4-a716-446655450001;USER_CREATED;2024-01-16T08:00:00;1;550e8400-e29b-41d4-a716-446655450101;USR_001;UserAggregate;1;admin;admin@company.com;ADMIN;1
2;550e8400-e29b-41d4-a716-446655450002;USER_CREATED;2024-01-16T08:30:00;1;550e8400-e29b-41d4-a716-446655450102;USR_002;UserAggregate;2;manager;manager@company.com;MANAGER;1
3;550e8400-e29b-41d4-a716-446655450003;USER_CREATED;2024-01-16T09:00:00;1;550e8400-e29b-41d4-a716-446655450103;USR_003;UserAggregate;3;analyst;analyst@company.com;ANALYST;1
4;550e8400-e29b-41d4-a716-446655450004;USER_CREATED;2024-01-16T09:30:00;1;550e8400-e29b-41d4-a716-446655450104;USR_004;UserAggregate;4;operator;operator@company.com;OPERATOR;2
5;550e8400-e29b-41d4-a716-446655450005;USER_CREATED;2024-01-16T10:00:00;1;550e8400-e29b-41d4-a716-446655450105;USR_005;UserAggregate;5;viewer;viewer@company.com;VIEWER;2
6;550e8400-e29b-41d4-a716-446655450006;USER_CREATED;2024-01-16T10:30:00;1;550e8400-e29b-41d4-a716-446655450106;USR_006;UserAggregate;6;auditor;auditor@company.com;AUDITOR;1
7;550e8400-e29b-41d4-a716-446655450007;USER_CREATED;2024-01-16T11:00:00;1;550e8400-e29b-41d4-a716-446655450107;USR_007;UserAggregate;7;supervisor;supervisor@company.com;SUPERVISOR;2
8;550e8400-e29b-41d4-a716-446655450008;USER_CREATED;2024-01-16T11:30:00;1;550e8400-e29b-41d4-a716-446655450108;USR_008;UserAggregate;8;technician;technician@company.com;TECHNICIAN;3
9;550e8400-e29b-41d4-a716-446655450009;USER_CREATED;2024-01-16T12:00:00;1;550e8400-e29b-41d4-a716-446655450109;USR_009;UserAggregate;9;coordinator;coordinator@company.com;COORDINATOR;3
10;550e8400-e29b-41d4-a716-446655450010;USER_CREATED;2024-01-16T12:30:00;1;550e8400-e29b-41d4-a716-446655450110;USR_010;UserAggregate;10;specialist;specialist@company.com;SPECIALIST;2
